complaint_text,ward,date
Sewage overflow blocking the road near Ward 42 school in Adyar,Ward 42 Adyar,2024-08-01
Road has completely caved in on Kodambakkam High Road near signal,Ward 17 Kodambakkam,2024-08-01
No water supply for 3 days in Mylapore residential area,Ward 31 Mylapore,2024-08-01
Streetlights not working for 2 weeks in Velachery main road,Ward 56 Velachery,2024-08-01
Garbage not collected for 5 days in T.Nagar,Ward 23 T.Nagar,2024-08-01
Large pothole causing accidents near Anna Nagar roundabout,Ward 12 Anna Nagar,2024-08-01
Drainage blocked and flooding compound in Tambaram,Ward 78 Tambaram,2024-08-01
Encroachment blocking public footpath in Tondiarpet,Ward 11 Tondiarpet,2024-08-02
Water pipe burst flooding the street in Guindy for 2 days,Ward 45 Guindy,2024-08-02
Broken manhole cover dangerous for pedestrians in Perambur,Ward 34 Perambur,2024-08-02
Illegal dumping of construction waste near Royapuram beach,Ward 09 Royapuram,2024-08-02
Park benches and lighting broken in Sholinganallur,Ward 67 Sholinganallur,2024-08-02
Sewage smell coming from blocked drain near Adyar market,Ward 42 Adyar,2024-08-02
Same pothole reported 3 times near Mylapore temple not fixed,Ward 31 Mylapore,2024-08-02
Water tanker not arriving as scheduled in Velachery layout,Ward 56 Velachery,2024-08-03
Road flooded after rain no drainage in Guindy industrial area,Ward 45 Guindy,2024-08-03
Stray dog menace near T.Nagar school causing fear for children,Ward 23 T.Nagar,2024-08-03
Transformer fault causing power cuts daily in Kodambakkam,Ward 17 Kodambakkam,2024-08-03
Public toilet locked and non-functional in Anna Nagar park,Ward 12 Anna Nagar,2024-08-03
Sewage overflowing into children play area in Adyar colony,Ward 42 Adyar,2024-08-03
